Activity,Atividade,
Activity Type,Tipo de Atividade,
Add,Adicionar,
Age,Idade,
Amended From,Alterado De,
Animal,Animal,
Animal Overview,Visão Geral do Animal,
Animal Overview Item,Item da Visão Geral do Animal,
Appointment Date,Data do Agendamento,
Appointment Minutes,Minutos do Agendamento,
Appointment Status,Status do Agendamento,
Appointment Time,Hora do Agendamento,
Appointment Type,Tipo de Agendamento,
Are you sure?,Você tem certeza?,
Arrived,Chegou,
Being Treated,Em Atendimento,
Breed,Raça,
Cancel,Cancelar,
Cancelled,Cancelado,
Clear,Limpar,
Close,Fechar,
Color,Cor,
Customer,Cliente,
Customer Name,Nome do Cliente,
Date,Data,
Date of Birth,Data de Nascimento,
Delete,Excluir,
Diagnosis,Diagnóstico,
Dosage,Dosagem,
Draft,Rascunho,
Due In,A Chegar,
Duration,Duração,
Edit,Editar,
Email,E-mail,
Emergency Contact,Contato de Emergência,
End Date,Data Final,
Error,Erro,
Export,Exportar,
Filter,Filtrar,
Frequency,Frequência,
From,De,
Gender,Sexo,
Import,Importar,
Info,Informação,
Invalid,Inválido,
Left,Saiu,
Loading,Carregando,
Medication,Medicamento,
Microchip,Microchip,
Mobile No,Celular,
Module,Módulo,
Naming Series,Série de Numeração,
Neutered,Castrado,
New,Novo,
No,Não,
No records found,Nenhum registro encontrado,
Notes,Observações,
OK,OK,
Observations,Observações,
Optional,Opcional,
Owner,Proprietário,
Patient,Paciente,
Patient Activity,Atividade do Paciente,
Patient Activity Item,Item de Atividade do Paciente,
Patient Booking,Agendamento de Paciente,
Patient Name,Nome do Paciente,
Pet,Pet,
Pet Name,Nome do Pet,
Pet Relation,Relação do Pet,
Physician,Veterinário,
Physician Name,Nome do Veterinário,
Please wait,Por favor, aguarde,
Posting Date,Data de Lançamento,
Prescription,Prescrição,
Primary Contact,Contato Principal,
Print,Imprimir,
Refresh,Atualizar,
Relation,Relação,
Remove,Remover,
Required,Obrigatório,
Save,Salvar,
Search,Pesquisar,
Select,Selecionar,
Spayed,Esterilizado,
Species,Espécie,
Start Date,Data Inicial,
Submit,Enviar,
Submitted,Enviado,
Success,Sucesso,
Symptoms,Sintomas,
Temperature,Temperatura,
Time,Hora,
To,Até,
Today,Hoje,
Tomorrow,Amanhã,
Treatment,Tratamento,
Update,Atualizar,
Vet Care,Cuidado Veterinário,
Vetcare Settings,Configurações do Vet Care,
Waiting To Pay,Aguardando Pagamento,
Warning,Aviso,
Weight,Peso,
Yes,Sim,
Yesterday,Ontem,
Zip Code,CEP,
ACT.#######,ACT.#######,
Amount,Valor,
Apply Core Overrides,Aplicar Substituições Principais,
Apply Custom Fields,Aplicar Campos Personalizados,
Attach,Anexar,
Capillary Refill Time (CRT),Tempo de Preenchimento Capilar (TPC),
Chip ID,ID do Chip,
Clinical History,Histórico Clínico,
Date Format,Formato de Data,
Default,Padrão,
Default Owner,Proprietário Padrão,
Description,Descrição,
Discount %,% de Desconto,
Discount Amount,Valor do Desconto,
DocType,Tipo de Documento,
Employee,Funcionário,
Enable POS Bahrain,Ativar POS Bahrain,
Examination,Exame,
Female,Fêmea,
Healthcare Practitioner,Profissional de Saúde,
Heart Rate / Pulse,Frequência Cardíaca / Pulso,
History,Histórico,
Inpatient,Internado,
Invoice,Fatura,
Is New Patient,É Novo Paciente,
Item,Item,
Item Name,Nome do Item,
Male,Macho,
Mucous Membrane,Mucosa,
Name,Nome,
No Appointment Settings,Sem Configurações de Agendamento,
Other,Outro,
Owner Name,Nome do Proprietário,
PB-.#####,PB-.#####,
POS Profile,Perfil de PDV,
Plan,Plano,
Print History,Histórico de Impressão,
Quantity,Quantidade,
Rate,Taxa,
Reference DocName,Nome do Documento de Referência,
Reference DocType,Tipo de Documento de Referência,
Respiratory Rate,Frequência Respiratória,
Sales Invoice,Nota Fiscal de Venda,
Sales Person,Vendedor,
Sales Person Name,Nome do Vendedor,
Save & Print Activity,Salvar e Imprimir Atividade,
Save Activity,Salvar Atividade,
Save to Patient,Salvar no Paciente,
Save to Vital Signs,Salvar em Sinais Vitais,
Sex,Sexo,
Show Zip Code,Mostrar CEP,
Skip Calendar,Pular Calendário,
Suspected Diagnosis,Diagnóstico Suspeito,
Taxes and Charges,Impostos e Encargos,
Total,Total,
Vital Signs,Sinais Vitais,
Weight (in Kilogram),Peso (em Quilogramas),
currency,moeda,
dd-mm-yy,dd-mm-aa,
mm-dd-yyyy,mm-dd-aaaa,
reference_dt,dt_referencia,
yyyy-mm-dd,aaaa-mm-dd,
Address,Endereço,
Area,Área,
Block No,Nº do Bloco,
Building No,Nº do Edifício,
CPR Number,Número CPR,
Cirrusvet ID,ID Cirrusvet,
City,Cidade,
Colour,Cor,
Country,País,
Deceased,Falecido,
Email Info,Informação de E-mail,
Flat No,Nº do Apartamento,
Home Phone,Telefone Residencial,
Measured in kilogram (kg),Medido em quilogramas (kg),
Mobile Number,Número de Celular,
Mobile Number 2,Número de Celular 2,
Nutrition,Nutrição,
Office Phone,Telefone Comercial,
Out-of-clinic,Fora da Clínica,
Phone\\, CPR etc.,Telefone\\, CPR etc.,
Reason of Death,Motivo do Óbito,
Road Name,Nome da Rua,
Road No,Nº da Rua,
This is on-the-fly field,Este é um campo dinâmico,
Time of Death,Hora do Óbito,
